,Unnamed: 0,Unnamed: 1,index,chainId,dexId,baseToken,baseTokenAddress,quoteToken,quoteTokenAddress,pairAddress,liquidity,TRUE
0,0,0,0,bsc,pancakeswap,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,USDT,0x55d398326f99059fF775485246999027B3197955,0x16b9a82891338f9bA80E2D6970FddA79D1eb0daE,"{""usd"":121690188.89270122,""base"":237541,""quote"":60845094}",1
5,6,6,6,arbitrum,uniswap,WETH,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,USDC,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,0xC31E54c7a869B9FcBEcc14363CF510d1c41fa443,"{""usd"":15980362,""base"":6858.66,""quote"":7432377}",1
8,9,9,9,ethereum,uniswap,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x88e6A0c2dDD26FEEb64F039a2c41296FcB3f5640,"{""usd"":201035441,""base"":97037,""quote"":80075812}",1
10,12,13,13,bsc,pancakeswap,USDT,0x55d398326f99059fF775485246999027B3197955,BUSD,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0x7EFaEf62fDdCCa950418312c6C91Aef321375A00,"{""usd"":70732805.27123411,""base"":35319584,""quote"":35366403}",1
14,16,18,18,polygon,uniswap,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x45dDa9cb7c25131DF268515131f647d726f50608,"{""usd"":9164990,""base"":3824.5,""quote"":4393613}",1
33,39,47,47,bsc,biswap,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,BUSD,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0xaCAac9311b0096E04Dfe96b6D87dec867d3883Dc,"{""usd"":30605115.946569614,""base"":59789,""quote"":15302558}",1
36,43,52,52,bsc,apeswap,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,BUSD,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0x51e6D27FA57373d8d4C256231241053a70Cb1d93,"{""usd"":1467012.496885862,""base"":2863.65,""quote"":733506}",1
41,49,59,59,optimism,uniswap,ETH,0x4200000000000000000000000000000000000006,USDC,0x7F5c764cBc14f9669B88837ca1490cCa17c31607,0x85149247691df622eaF1a8Bd0CaFd40BC45154a9,"{""usd"":6052277,""base"":2562.96,""quote"":2856714}",1
44,52,65,65,bsc,pancakeswap,ETH,0x2170Ed0880ac9A755fd29B2688956BD959F933F8,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x74E4716E431f45807DCF19f284c7aA99F18a4fbc,"{""usd"":45388690.11482948,""base"":18183,""quote"":88609}",1
56,67,89,89,arbitrum,sushiswap,WETH,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,USDC,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,0x905dfCD5649217c42684f23958568e533C711Aa3,"{""usd"":22442812.61182,""base"":8981.39,""quote"":11221406}",1
